,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0097524,GO:0005886
2,GO:0042383,GO:0005886
3,GO:0001533,GO:0005886
4,GO:0120001,GO:0005886
5,GO:0097524,GO:0005886
6,GO:0042383,GO:0005886
7,GO:0001533,GO:0005886
8,GO:0120001,GO:0005886
9,GO:0098552,GO:0110165
10,GO:0031241,GO:0098552
11,GO:0098572,GO:0098552
12,GO:0098562,GO:0098552
13,GO:0031240,GO:0098552
14,GO:0098576,GO:0098552
15,GO:0098569,GO:0098552
16,GO:0009897,GO:0098552
17,GO:0098570,GO:0098552
18,GO:0098571,GO:0098552
19,GO:0031241,GO:0098552
20,GO:0098572,GO:0098552
21,GO:0098562,GO:0098552
22,GO:0031240,GO:0098552
23,GO:0098576,GO:0098552
24,GO:0098569,GO:0098552
25,GO:0009897,GO:0098552
26,GO:0098570,GO:0098552
27,GO:0098571,GO:0098552
28,GO:0009932,GO:0009826
29,GO:0048768,GO:0009932
30,GO:0009860,GO:0009932
31,GO:0048768,GO:0009932
32,GO:0009860,GO:0009932
33,GO:0010215,GO:0030198
34,GO:0010053,GO:0090627
35,GO:0010054,GO:0010053
36,GO:0048765,GO:0010053
37,GO:0010055,GO:0010053
38,GO:0010054,GO:0010053
39,GO:0048765,GO:0010053
40,GO:0010055,GO:0010053
41,GO:0048765,GO:0010053
42,GO:0048765,GO:0048764
