,go_id,parent_id
0,GO:0005886,GO:0016020
1,GO:0120001,GO:0005886
2,GO:0042383,GO:0005886
3,GO:0097524,GO:0005886
4,GO:0001533,GO:0005886
5,GO:0120001,GO:0005886
6,GO:0042383,GO:0005886
7,GO:0097524,GO:0005886
8,GO:0001533,GO:0005886
9,GO:0098552,GO:0110165
10,GO:0009897,GO:0098552
11,GO:0098569,GO:0098552
12,GO:0098570,GO:0098552
13,GO:0031241,GO:0098552
14,GO:0098571,GO:0098552
15,GO:0098572,GO:0098552
16,GO:0098562,GO:0098552
17,GO:0031240,GO:0098552
18,GO:0098576,GO:0098552
19,GO:0009897,GO:0098552
20,GO:0098569,GO:0098552
21,GO:0098570,GO:0098552
22,GO:0031241,GO:0098552
23,GO:0098571,GO:0098552
24,GO:0098572,GO:0098552
25,GO:0098562,GO:0098552
26,GO:0031240,GO:0098552
27,GO:0098576,GO:0098552
28,GO:0046872,GO:0043169
29,GO:0031420,GO:0046872
30,GO:0005509,GO:0046872
31,GO:0032791,GO:0046872
32,GO:0000287,GO:0046872
33,GO:0046911,GO:0046872
34,GO:0046914,GO:0046872
35,GO:0031420,GO:0046872
36,GO:0005509,GO:0046872
37,GO:0032791,GO:0046872
38,GO:0000287,GO:0046872
39,GO:0046911,GO:0046872
40,GO:0046914,GO:0046872
41,GO:0009734,GO:0009755
42,GO:0090015,GO:0009734
43,GO:0060774,GO:0009734
44,GO:0090015,GO:0009734
45,GO:0060774,GO:0009734
